NUMERO_REGISTRO_record_number,DENOMINACION_FOSA_grave_name,TIPO_FOSA_grave_type,FECHA_FOSA_grave_date,MUNICIPIO_municipality,PROVINCIA_province,COMAUTONOM_autonomous_community,TIPO_INTERVENCION_intervention_type,FECHA_INTERVENCION_intervention_date,ESTADO_ACTUAL_current_grave_status,NUMERO_PERSONAS_FOSA_number_people_grave,NUMERO_PERSONAS_EXHUMADAS_number_people_exhumed,NUMERO_PERSONAS_IDENTIFICADAS_number_people_identified,ENTIDAD_PROMOTORA_sponsoring_institution,ENTIDAD_INFORMANTE_reporting_entity,OBSERVACIONES_observations,,
671/2009 HUES,Cementerio de Barbastro-2,REPRESALIA EN RETAGUARDIA,,Barbastro,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Se hallaría unos metros más delante de la fosa 1 del cementerio. Contendría los restos de algunas de las cientos de personas ejecutadas en Barbastro entre 1938 y 1944. Ornamentada con una placa de homenaje en la que figura la inscripción """"la lucha por la libertad nos costó la vida 1936-1975"""", colocada en ese lugar hace ya unos años por """"las fuerzas democráticas de Barbastro"""" que firman el homenaje. Es de reseñar que se trata de un espacio de terreno muy reducido, por lo que los informantes no pueden garantizar que se halle realmente sobre la fosa común muy bien podría tratarse de un lugar meramente simbólico.""",,
673/2009 HUES,Cementerio de Benabarre-1,FUSILAMIENTO,,Benabarre,Huesca,Aragón,,,NO INTERVENIDA,4,4,4,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",En el cementerio de Benabarre pueden encontrarse hasta cuatro fosas comunes de la época de la Guerra Civil. Esta primera fosa contendría los restos de 4 hombres fusilados por los franquistas en agosto de 1938.,,
674/2009 HUES,Cementerio de Benabarre-2,FUSILAMIENTO,13/10/1938,Benabarre,Huesca,Aragón,,,NO INTERVENIDA,2,2,2,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Contendrñia los restos de 2 vecinos de Lascuarre asesinados por los franquistas el 13 de octubre de 1938.,,
675/2009 HUES,Cementerio de Benabarre-3,,,Benabarre,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Contendría los restos de un número indeterminado de personas asesinadas por milicianos antifascistas al comienzo de la Guerra Civil. La losa que cubre la fosa está tan deteriorada que resulta prácticamente imposible distinguir los nombres o fechas grabados en su superficie. Apenas puede leerse """"por Dios y por España"""".""",,
676/2009 HUES,Fosa en el Cementerio de Benabarre-4,EJECUCION,28/07/1936,Benabarre,Huesca,Aragón,,,NO INTERVENIDA,9,9,9,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",La fosa más imponente de las cuatro localizadas en el cementerio de Benabarre está dignificada con un pequeño monumento en un espacio cedido por un vecino y contiene los restos de 9 vecinos de Benabarre asesinados por un grupo de milicianos antifascistas la noche del 28 de julio de 1936 a algunos kilómetros del pueblo. Sus cuerpos fueron recuperados tiempo después y trasladados a este lugar.,,
975/2009 HUES,NO CONSTA,,,Benabarre,Huesca,Aragón,,,TRASLADADA AL VALLE DE LOS CAÍDOS,1,1,1,,Patrimonio Nacional,Trasladada al Valle de los Caídos con la fecha/s:24/03/1959,,
677/2009 HUES,Cementerio de Benasque-1,EJECUCION,,Benasque,Huesca,Aragón,,,NO INTERVENIDA,,3,3,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Fosa no delimitada. Sólo puede localizarse con el testimonio de los vecinos. En esta fosa yacerían los restos de 3 hombres sorprendidos  y ejecutados por los milicianos cuando intentaban llegar a la frontera francesa a través de las montañas. De la identidad de las víctimas nada se sabe en el pueblo aunque en Arén  se dice que un jóven del pueblo, Francisco Fondevilla fue ejecutado junto a dos jóvenes catalanes procedentes de Mora de Ebro tras ser sorprendidos en la zona de Benasque cuando intentaban pasarse al enemigo a través de la frontera francesa. Podría tratarse de esos tres jóvenes.""",,
679/2009 HUES,Cementerio de Benasque-2,,,Benasque,Huesca,Aragón,,,NO INTERVENIDA,,3,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Contendría los restos de 3 soldados republicanos heridos que habrían optado por suicidarse de forma colectiva al comprobar que sería prácticamente imposible que quienes les transportaban pudieran atravesar los altos puertos fronterizos con ellos. Ante la evidencia de que el enemigo les pisaba los talones habrían optado por poner fin a sus vidas. De su identidad nada se conoce y es seguro que procedían del valle. Esta fosa como la nº 1 estaría situada en un espacio vacio del cementerio, a escasos metros a la izquierda de la puerta de entrada.",,
681/2009 HUES,Cementerio de Benasque-3,GUERRILLERA,,Benasque,Huesca,Aragón,,,NO INTERVENIDA,,1,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Contendría los restos de un guerrillero del """"maquis"""" llamado Elías Piquer que fue enterrado en ese lugar después de morir en combate contra fuerzas de la Guardia Civil en fecha indeterminada, muy problablemente en noviembre de 1944.""",,
762/2009 HUES,Fosa en Gavín,REPRESALIA EN RETAGUARDIA,,Biescas,Huesca,Aragón,,,NO INTERVENIDA,4,4,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Contiene cuatro vecinios de Gavín en venganza a una incursión republicana que logró tomar el pueblo momentáneamente, fueron asesinados y quemados, durante los últimos días de noviembre y los primeros de diciembre de 1936.",,
717/2009 HUES,Fosa de Escuer,FUSILAMIENTO,30/11/1936,Biescas,Huesca,Aragón,,,DESAPARECIDA,8,8,8,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Ya no existe la fosa común en la que yacieron durante muchos años 8 vecinos de Gavín ( 5 hombres y 3 mujeres) asesinados el 30 de noviembre de 1936 por los rebeldes. Sus cuerpos fueron exhumados tras la llegada de la democracia y trasladados al cementerio de Gavín, donde yacen juntos en una sepultura levantada al efecto.",,
1486/2009 HUES,"Fosa en el cementerio de Yosa de Sobremonte-1, junto a la puerta de la iglesia",EJECUCION,,Biescas,Huesca,Aragón,,,NO INTERVENIDA,4,4,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Contiene los restos de cuatro vecinos de Yosa asesiandos en la Partida de Correas, durante la retirada republicana de la primavera de 1938.",,
1487/2009 HUES,"Fosa el cementerio de Yosa de Sobremonte-2, en una esquina del cementerio junto a la entrada al recinto",DESCONOCIDO,,Biescas,Huesca,Aragón,,,NO INTERVENIDA,,1,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Fue abatido por los republicanos el día que conquistaron Yosa, aunque no está claro si fue por un error o porque se había armado con una escopeta para hacerles frente.",,
1271/2009 HUES,NO CONSTA,,,Biescas,Huesca,Aragón,,,TRASLADADA AL VALLE DE LOS CAÍDOS,70,70,22,,Patrimonio Nacional,Trasladada al Valle de los Caídos con la fecha/s:24/03/1964,,
684/2009 HUES,Cementerio de Biscarrués,,18/08/1936,Biscarrués,Huesca,Aragón,,,NO INTERVENIDA,4,4,4,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Se hallaría la fosa en el interior del cementerio, contendría los restos de 4 mujeres, vecinas de Murillo de Gállego, que fueron asesinadas cerca del pueblo durante la represión que costó la vida a 23 vecinos de Murillo el 18 de agosto de 1936. Sus cuerpos fueron trasladados al camposanto por vecinos de Biscarrués. La sepultura no está dignificada y es dífícil situarla con absoluta precisión los vecinos la sitúan en la parte derecha del cementerio muy cerca de la entrada.""",,
685/2009 HUES,Fosa junto al arroyo en la salida a Ardisa,,,Biscarrués,Huesca,Aragón,,,NO INTERVENIDA,2,11,2,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Contendría los restos de 11 hombres asesinados en ese mismo lugar en el que fueron enterrados, junto al arroyo que corre muy próximo a la localidad en la salida hacia Ardisa, casi al borde de la carretera. Parece ser que las víctimas eran vecinos de Valpalmas. La fosa carece de ningún signo distintivo y en opinión de algunos podría haber sido dañada por las aguas del torrente que discurre a escasos metros de su emplazamiento.",,
688/2009 HUES,Campo de Sanchón,LUCHA ARMADA,,Boltaña,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Las grandes fosas de Boltaña se sitúan en el denominado """"Campo de Sanchón"""", en las afueras del pueblo en dirección a L'Ainsa, muy cerca del núcleo de población de Margugued. En ellas se hallan los restos de numerosos soldados republicanos muertos en el Hospital de Sangre establecido por el Ejército de la República en un gran edificio situado muy cerca del pueblo.Recientemente en una obras de ampliación de ese recinto aparecieron restos humanos.""",,
1218/2009 HUES,NO CONSTA,,,Boltaña,Huesca,Aragón,,,TRASLADADA AL VALLE DE LOS CAÍDOS,67,67,0,,Patrimonio Nacional,Trasladada al Valle de los Caídos con la fecha/s:09/06/1960,,
1455/2009 HUES,Fosa en la localidad de Sarvisé,EJECUCION,,Broto,Huesca,Aragón,,,EXHUMADA TOTAL,4,4,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","En la localidad de Sarvisé, perteneciente al municipio de Broto, existió una fosa, en el Campo de la Lupera Franca, que fue exhumada al poco de terminar la Guerra Civil. Contenía los restos de cuatro vecinos asesinados por los republicanos, que fueron trasladados al antiguo cementerio. Años después, con la apertura de un nuevo recinto, desaparecieron estas tumbas. Un quinto hombrte logró escapar del fusilamiento lo que permitió localizar entonces el lugar exacto del enterramiento.",,
689/2009 HUES,Cementerio de Caldearenas,,,Caldearenas,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""En la fosa existente en el cementerio de Caldearenas, identificada con una gran losa de cemento, yacerían los restos de algunos soldados fallecidos en las batalllas por esa zona del Altoaragón, y más concretamente en torno a las posiciones del Tozal de Estallo. En la zona recuerdan que en esa posición murieron once de sus doce defensores, pertenecientes a las fuerzas rebeldes se dice que el único soldado que se salvó era precisamente de Caldearenas.""","
",
1449/2009 HUES,Fosa en San Vicente,EJECUCION,,Caldearenas,Huesca,Aragón,,,EXHUMADA TOTAL,2,3,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Hay discrepancias entre las fuentes de si los tres hombres que contenía esta fosa fueron asesinados por los republicanos en la partida de Camporredondo o ejecutados por los rebeldes.,,
691/2009 HUES,Fosa en Cementerio de Candasnos,ACCION BELICA DISTINTA,1/1/1938,Candasnos,Huesca,Aragón,,,NO INTERVENIDA,2,20,2,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Guarda los restos de, al menos, dos de las numerosas víctimas que dejó el bombardeo que los franquistas lanzaron sobre la localidad el 1 de enero de 1938. Estas víctimas si estarían identificadas. Ese sorpresivo ataque aéreo costó la vida a varios vecinos, así como a refugiados y a varios militares. Previsiblemente deben permanecer sepultados en el espacio vacio situado junto a la doble sepultura de las dos víctimas identificadas. Las personas consultadas recuerdan que algunas de las víctimas fueron arrojadas directamente al osario.",,
692/2009 HUES,Cementerio de Capdesaso,,,Capdesaso,Huesca,Aragón,,,DESAPARECIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",En el cementerio de la localidad había una tumba anónima en la que yacía un hombre asesinado por los sublevados después de la conquista de la zona por el ejército franquista. La fosa desapareció bajo un bloque de nichos de nueva construcción.,,
693/2009 HUES,"""Fosa de la """"masada de Blásez""""""",,,Castejón de Monegros,Huesca,Aragón,,,NO INTERVENIDA,2,2,2,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""La fosa se halla a varios kilómetros del pueblo de Castejón de Monegros, al borde de la """"pinada"""" del monte de Pina, muy cerca de las masadas de Blásez y de Jos Casanovas. Allí reposarían los restos de 2 sacerdotes asesinados en el verano de 1936. Durante muchos años estuvo señalizada por una cruz, pero en la actualidad la cruz ha desaparecido y sólo una pequeña piedra al borde de una charca indica el lugar del enterramiento.""",,
694/2009 HUES,Fosa de la carrasca de Becha,LUCHA ARMADA,,Chimillas,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","En una zona muy concreta del término municipal sería posible identificar una fosa. Se trataríia de una pequeña loma que se eleva algunos metros en las inmediaciones de la carrasca de Becha, un magnífico árbol situado a unos cuatro kilómetros del pueblo. Allí, sin que pueda establecerse el punto exacto, habrían sido enterrados un grupo de soldados de origen y filiación desconocida.",,
695/2009 HUES,Fosa en cementerio de Colungo,GUERRILLERA,,Colungo,Huesca,Aragón,,,NO INTERVENIDA,1,3,1,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Contiene los restos de 3 guerrilleros del """"maquis"""" muertos en un enfrentamiento con la Guardia Civil en la """"caseta de Notarios"""", en el monte Arnas, en el año 1946. Un grupo de siete u ocho guerrilleros fue sorprendido mientras pernoctaban en la caseta. Tres de los guerrilleros intentaron huir y fueron abatidos. El resto fueron detenidos. Sólo se conoce la identidad de uno de los fallecidos, los otros dos eran catalanes y su identidad se desconoce. El lugar fue honrado con una placa colocada por """"Amical Catalana de Antiguos Guerrilleros"""".""",,
718/2009 HUES,Barranco de la Pastoreta,,,Esplús,Huesca,Aragón,,,DESAPARECIDA,10,28,10,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Contendría los restos de 28 personas que murieron en enfrentamiento interno entre vecinos del pueblo. Entre ellos había tanto personas de izquierda como pequeños propietarios conservadores al término de la Guerra algunos fueron reconocidos como """"caídos por Dios y por España"""", mientras otros cayeron definitivamente en el olvido oficial. Unos y otros fueron asesinados en el barranco de La Pastoreta, junto a la finca de Monte Julia. Sus restos fueron trasladados al cementerio tras la conquista del pueblo por las fuerzas franquistas. El lugar está dignificado con una placa en la que figuran los nombres de varias de las víctimas.""",,
719/2009 HUES,Cementerio de Esplús,,,Esplús,Huesca,Aragón,,,DESAPARECIDA,,30,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",La fosa ha desaparecido bajo dos bloques colindantes de nichos construidos durante las décadas de los años 40 y 70. Contenía los restos de una cantidad indeterminada de personas (¿30?) que murieron entre el 5 y el 19 de abril de 1938. Recientemente se colocó en una de las columnas del bloque de nichos una pequeña placa que recuerda a algunos de los fallecidos.,,
744/2009 HUES,Cementerio de Fanlo,LUCHA ARMADA,,Fanlo,Huesca,Aragón,,,NO INTERVENIDA,,88,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Durante la ofensiva de la primavera de 1938 fallecieron 65 soldados al tratar de tomar el pueblo. Otros 23 habrían muerto en lugares cercanos del frente.,,
745/2009 HUES,"""Cementerio de Fiscal, tres miembros de la """"Casa Coma""""""",REPRESALIA EN RETAGUARDIA,2/12/1937,Fiscal,Huesca,Aragón,,,NO INTERVENIDA,3,3,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","El motivo no está claro, podría ser el carácter desafiante del cabeza de familia o un enfrentamiento de tipo pasional entre un miembro de la familia y un oficial del ejército republicano.",,
746/2009 HUES,Cementerio de Fraga-1,REPRESALIA EN RETAGUARDIA,,Fraga,Huesca,Aragón,,,NO INTERVENIDA,40,40,40,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Contiene los restos de al menos 40 personas asesinadas por los milicianos antifascistas en 1936.,,
747/2009 HUES,Cementerio de Fraga-2,REPRESALIA EN RETAGUARDIA,4/5/1938,Fraga,Huesca,Aragón,,,NO INTERVENIDA,11,11,11,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Asesinados el 4 de mayo de 1938, tras la conquista de la ciudad.",,
974/2009 HUES,NO CONSTA,,,Fraga,Huesca,Aragón,,,TRASLADADA AL VALLE DE LOS CAÍDOS,24,24,24,,Patrimonio Nacional,"Trasladada al Valle de los Caídos con la fecha/s:24/03/1959,09/06/1960",,
1424/2009 HUES,Fosa en el cementerio de Morillo de Monclús,GUERRILLERA,,"Fueva, La",Huesca,Aragón,,,NO INTERVENIDA,3,3,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Contiene los restos de tres guerrilleros del maquis muertos contra las fuerzas del ejército en octubre de 1944. Fueron sorprendidos cuando atravesaban el paraje conocido como Campo de la Abadía.,,
714/2009 HUES,Fosa Cementerio de El Grado,FUSILAMIENTO,21/10/1936,"Grado, El",Huesca,Aragón,,,NO INTERVENIDA,4,4,4,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",En el centro del cementerio sigue existiendo una fosa que contendría los restos de 4 personas asesinadas el 21 de octubre de 1936 en el desvio que desde la carretera se dirige al cementerio de la localidad. Se trataba de 2 hombres y 2 mujeres que se cree eran vecinos de Naval.,,
690/2009 HUES,Cementerio de Callén,,,Grañén,Huesca,Aragón,,,NO INTERVENIDA,1,4,1,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Contiene los restos de 4 vecinos del pueblo asesinados por los republicanos en la cercana localidad de Albero Bajo, que fueron trasladados a Callén años después de la Guerra. En su día los familiares no colocaron ninguna placa sobre la tumba y se limitaron a inscribir sus nombres en la losa que se colocó en los muros de la iglesia. Sólo consta una víctima con nombre y apellidos. Dos de las víctimas eran los hermanos Sánchez (de Casa Luchana) y un hombre apellidado Comenge.",,
755/2009 HUES,Cementerio de Fraella,LUCHA ARMADA,,Grañén,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Fallecidos franquistas al tomar el pueblo y no percatarse de la presencia de una ametralladora apostada en lo alto del pueblo.,,
756/2009 HUES,Fosa en Fraella bajo el depósito de agua,EJECUCION,,Grañén,Huesca,Aragón,,,NO INTERVENIDA,,4,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Fueron fusilados después de haber sido hechos prisioneros durante la conquista del pueblo.,,
764/2009 HUES,Cementerio de Grañén,REPRESALIA EN RETAGUARDIA,,Grañén,Huesca,Aragón,,,NO INTERVENIDA,2,2,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Asesinados al principio de la guerra por fuerzas republicanas,,
766/2009 HUES,Fosa en paralelo a uno de los muros del cementerio de Grañén,LUCHA ARMADA,,Grañén,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Contiene los restos de soldados republicanos muertos durante los sangrientos enfrentamientos en Santa Quiteria y en Grañén.,,
781/2009 HUES,Fosa en el cementerio viejo de Graus,OTRO,,Graus,Huesca,Aragón,,,NO INTERVENIDA,,30,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Varios asesinatos,,
776/2009 HUES,Fosa en el cementerio nuevo de Graus,EJECUCION,,Graus,Huesca,Aragón,,,NO INTERVENIDA,22,22,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","En una pequeña capilla fueron enterrados 22 vecinos de Graus, asesinados junto al pantano de El Grado el día 28 de octubre de 1936. En primera instancia fueron enterrados en el cementerio viejo, fueron trasladados cuando la subida de las aguas amenazó con inundar la fosa.",,
1101/2009 HUES,Fosa en Gurrea de Gállego al borde de carretera que conduce a la autovía Huesca-Zaragoza,REPRESALIA EN RETAGUARDIA,29/09/1936,Gurrea de Gállego,Huesca,Aragón,,,NO INTERVENIDA,14,15,14,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Las víctimas fueron asesinadas la noche del 29 de septiembre de 1936 como represalia por el sabotaje sufrido por un tren. Fue dignificada en una ceremonia celebrada en octubre de 1979.,,
1168/2009 HUES,"Fosa en Gurrea de Gállego, a la entrada del pueblo cuando se viaja desde Huesca",REPRESALIA EN RETAGUARDIA,29/09/1936,Gurrea de Gállego,Huesca,Aragón,,,NO INTERVENIDA,9,9,9,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Contiene los restos de 9 mujeres asesinadas el 29-09-1936 en represalia por el sabotaje a un tren de mercancias. Todas eran vecinas de Gurrea y tenían entre 14 y 72 años.,,
1169/2009 HUES,Cementerio de Gurrea de Gállego,REPRESALIA EN RETAGUARDIA,,Gurrea de Gállego,Huesca,Aragón,,,NO INTERVENIDA,,3,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Tres jóvenes que fueron sorprendidos cuando intentaban ganar zona republicana.,,
1177/2009 HUES,Fosa en Monte de Pilatos de la localidad de Gurrea de Gállego,REPRESALIA EN RETAGUARDIA,,Gurrea de Gállego,Huesca,Aragón,,,NO INTERVENIDA,2,2,2,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Las víctimas fueron asesinadas por los falangistas de la misma localidad en el verano de 1936. Viniendo al pueblo por la llamada carretera de la Bochornera, se cruza un puente sobre la autovía y a continuación se toma la pista sin asfaltar que surge justo al lago de la llamada caseta del piojo, a mano izquierda de la carretera. La fosa está a la izquierda del camino, a unos 500 metros de la caseta y a unos 200 del camino.",,
1408/2009 HUES,Fosa en la parte exterior junto al muro este del cementerio de La Pául,OTRO,,Gurrea de Gállego,Huesca,Aragón,,,NO INTERVENIDA,1,2,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Fallecieron en un tiroteo con la guardia civil cuando se detuvieron en la zona camino de la frontera francesa, se habían fugado del campo de concentración de Albatera. Fallecieron en mayo de 1939.",,
1409/2009 HUES,Fosa en el pueblo de La Pául,REPRESALIA EN RETAGUARDIA,1/10/1936,Gurrea de Gállego,Huesca,Aragón,,,NO INTERVENIDA,4,4,4,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Las víctimas fueron asesinadas en octubre de 1936. Tomás Aurensanz fue asesinado porque dos de sus hermanos habían huído a la zona republicana.,,
1230/2009 HUES,Fosa en el Cementerio de Huerto-1,ACCION BELICA DISTINTA,,Huerto,Huesca,Aragón,,,NO INTERVENIDA,5,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Muertos por el bombardeo sufrido por la aviación fascista. Murieron un número impreciso de vecinos de Huerto, entre ellos varios niños.",,
1233/2009 HUES,Fosa en el cementerio de Hueto-2,EJECUCION,,Huerto,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Fueron ejecutados por celebrar ruidosamente la caída de las bombas que costaron la vida a varios niños y algún adulto del pueblo.,,
707/2009 HUES,Fosa Castillo de Torón-Cuarte,FUSILAMIENTO,,Huesca,Huesca,Aragón,,,NO INTERVENIDA,,3,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""La fosa se halla bastante alejada del casco urbano de Cuarte, al lado del arruinado castillo de Torón, al borde de la antigua carretra general de Huesca a Zaragoza, cerca del punto en que la ruta inicia su ascenso por las denominadas """"canteras de Almudévar"""". El edificio fue abandonado hace mucho tiempo, se mantienen en pie los muros y parte del tejado. Según los testimonios recogidos, contendría los cuerpos de 3 soldados de identidad desconocida, con toda probabilidad republicanos, fusilados tras caer prisioneros de los rebeldes en el curso de algún combate. En el lugar no existe señal identificativa.""",,
643/2009 HUES,Fosa del cementerio de Apiés,EJECUCION,,Huesca,Huesca,Aragón,,,NO INTERVENIDA,20,20,20,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""El pueblo tuvo que ser reconstruido en su integridad tras la Guerra Civil al quedar devastado en el transcurso de los combates. En el cementerio se conserva la fosa con 20 víctimas del pueblo, que fueron asesinados por la cuadrilla de un antiguo alcalde republicano una noche de agosto de 1936. Fueron asesinados en el """"Camino de las Suertes"""", en el llamado Barzón de Susín. Hace cuatro o cinco años se colocó sobre la fosa una gran losa de cemento y piedra con sus nombres.""",,
1254/2009 HUES,Fosa en el Cementerio Municipal de Huesca,EJECUCION,,Huesca,Huesca,Aragón,,,NO INTERVENIDA,4,3,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",,,
1255/2009 HUES,Fosa en el Cementerio Municipal de Huesca-2,DESCONOCIDO,,Huesca,Huesca,Aragón,,,NO INTERVENIDA,5,6,1,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",,,
1256/2009 HUES,Fosa en el Cementerio Munipal de Huesca-3,EJECUCION,,Huesca,Huesca,Aragón,,,NO INTERVENIDA,2,12,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",El 15 de octubre de 1938 fueron ejecutados un total de 11 hombres y una mujer joven.,,
1257/2009 HUES,Fosa en el Cementerio Las Mártires de Huesca,OTRO,,Huesca,Huesca,Aragón,,,NO INTERVENIDA,,,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","Las víctimas fueron causadas por ejecuciones y bombardeos. Se desconoce si entre los enterrados en el cementerio están las víctimas de la gran matanza del 23 de agosto de 1936, en el que murieron casi un centenar de personas. Los enterramientos tuvieron lugar desde el 3 de septiembre de 1936 a marzo de 1938.",,
1467/2009 HUES,Fosa en el cementerio de Tabernas del Isuela,EJECUCION,,Huesca,Huesca,Aragón,,,NO INTERVENIDA,5,6,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Asesinados por los republicanos en el verano de 1936.,,
979/2009 HUES,NO CONSTA,,,Huesca,Huesca,Aragón,,,TRASLADADA AL VALLE DE LOS CAÍDOS,773,773,5,,Patrimonio Nacional,"Trasladada al Valle de los Caídos con la fecha/s:24/03/1959,09/06/1960,24/03/1964",,
1272/2009 HUES,Apiés,,,Huesca,Huesca,Aragón,,,TRASLADADA AL VALLE DE LOS CAÍDOS,82,82,0,,Patrimonio Nacional,Trasladada al Valle de los Caídos con la fecha/s:24/03/1964,,
665/2009 HUES,Cementerio de Banaguas,,16/08/1936,Jaca,Huesca,Aragón,,,NO INTERVENIDA,1,1,1,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","""Los testimonios recogidos no tienen dudas sobre su existencia. Contendría los restos de un hombre que fue asesinado en la partida conocida como """"Las Fajazas""""-muy próxima al casco urbano- el 16 de agosto de 1936. El crimen se produjo a la vista de la gente sentada en la terraza de un antiguo local en la plaza del pueblo.""",,
1082/2009 HUES,Cementerio de Guasa,REPRESALIA EN RETAGUARDIA,,Jaca,Huesca,Aragón,,,NO INTERVENIDA,,5,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Asesinados por los golpistas en los primeros días de la guerra civil,,
1259/2009 HUES,Fosa en el cementerio de Jaca-2,LUCHA ARMADA,,Jaca,Huesca,Aragón,,,NO INTERVENIDA,,,6,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Soldados muertos en el frente del Alto Aragón entre julio y marzo de 1938. Sólo aparecen identificados séis soldados con sus nombres y apellidos aunque deben de haber muchos más.,,
1317/2009 HUES,Fosa en el cementerio de Jaca-9 en la esquina noreste,FUSILAMIENTO,28/08/1936,Jaca,Huesca,Aragón,,,NO INTERVENIDA,6,6,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Víctimas asesinadas el 28 de agosto de 1936 en el campo de tiro de Batielles.,,
1318/2009 HUES,Fosa en el cementerio de Jaca-10 situada en el interior del cementerio,FUSILAMIENTO,27/10/1936,Jaca,Huesca,Aragón,,,NO INTERVENIDA,6,0,6,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Víctimas fusiladas en el campo de tiro de Batielles.,,
1258/2009 HUES,Fosa en el cementerio de Jaca-1,OTRO,,Jaca,Huesca,Aragón,,,NO INTERVENIDA,,10,,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Diez soldados muertos en las primeras horas de la sublevación de Jaca.,,
1260/2009 HUES,"Fosa en el cementerio de Jaca-3, situada en el antiguo extremo suroeste.",EJECUCION,,Jaca,Huesca,Aragón,,,NO INTERVENIDA,9,0,9,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Número indeterminado de personas asesinadas en Jaca en diciembre de 1936 y enero de 1937.,,
1261/2009 HUES,Fosa en el cementerio de Jaca-4,EJECUCION,25/11/1936,Jaca,Huesca,Aragón,,,NO INTERVENIDA,6,6,6,,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte","1 persona y otras 5 posibles que aparecen asesinados en la misma fecha, 25-11-1936.",,
